date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:10:50	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
13:10:50	27292/27292	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Jun%202022%2007:40:51%20GMT	https://preview.colorlib.com/theme/vacationrental/	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/index.html	(from )
13:10:50	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/rms-4/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://preview.colorlib.com/theme/vacationrental/)
13:10:50	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Thu,%2009%20Jun%202022%2007:40:51%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z=	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://preview.colorlib.com/theme/vacationrental/)
13:10:51	27313/27313	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Jun%202022%2007:40:51%20GMT	https://preview.colorlib.com/theme/vacationrental/index.html	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/index-2.html	(from https://preview.colorlib.com/theme/vacationrental/)
13:10:51	153363/153363	---MCZ	200	added ('OK')	text/css	etag:W/%220%22	https://preview.colorlib.com/theme/vacationrental/css/animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+bootstrap-datepicker.css+jquery.timepicker.css+flaticon.css+style.css.pagespeed.cc.TncY36dScG.css	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/css/animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+bootstrap-datepicker.css+jquery.timepicker.css+flaticon.css+style.css.pagespeed.cc.TncY36d	(from https://preview.colorlib.com/theme/vacationrental/)
13:10:51	18368/18368	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Jun%202022%2007:40:52%20GMT	https://preview.colorlib.com/theme/vacationrental/about.html	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/about.html	(from https://preview.colorlib.com/theme/vacationrental/)
13:10:52	14692/14692	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Jun%202022%2007:40:52%20GMT	https://preview.colorlib.com/theme/vacationrental/services.html	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/services.html	(from https://preview.colorlib.com/theme/vacationrental/)
13:10:52	15726/15726	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Jun%202022%2007:40:53%20GMT	https://preview.colorlib.com/theme/vacationrental/rooms.html	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/rooms.html	(from https://preview.colorlib.com/theme/vacationrental/)
13:10:52	14409/14409	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Jun%202022%2007:40:53%20GMT	https://preview.colorlib.com/theme/vacationrental/blog.html	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/blog.html	(from https://preview.colorlib.com/theme/vacationrental/)
13:10:53	13616/13616	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Jun%202022%2007:40:53%20GMT	https://preview.colorlib.com/theme/vacationrental/contact.html	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/contact.html	(from https://preview.colorlib.com/theme/vacationrental/)
13:10:53	268132/268132	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Mar%202020%2013:08:52%20GMT	https://preview.colorlib.com/theme/vacationrental/images/xbg_1.jpg.pagespeed.ic.yXbuegvbmi.jpg	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/images/xbg_1.jpg.pagespeed.ic.yXbuegvbmi.jpg	(from https://preview.colorlib.com/theme/vacationrental/)
13:10:53	251490/251490	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Mar%202020%2013:09:25%20GMT	https://preview.colorlib.com/theme/vacationrental/images/xservices-1.jpg.pagespeed.ic.sH4L_q1gDD.jpg	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/images/xservices-1.jpg.pagespeed.ic.sH4L_q1gDD.jpg	(from https://preview.colorlib.com/theme/vacationrental/)
13:10:54	179199/179199	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Mar%202020%2013:09:27%20GMT	https://preview.colorlib.com/theme/vacationrental/images/xservices-2.jpg.pagespeed.ic.mdvZeCUnvo.jpg	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/images/xservices-2.jpg.pagespeed.ic.mdvZeCUnvo.jpg	(from https://preview.colorlib.com/theme/vacationrental/)
13:10:54	116694/116694	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Mar%202020%2013:09:28%20GMT	https://preview.colorlib.com/theme/vacationrental/images/xservices-3.jpg.pagespeed.ic.UNMYVVohjO.jpg	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/images/xservices-3.jpg.pagespeed.ic.UNMYVVohjO.jpg	(from https://preview.colorlib.com/theme/vacationrental/)
13:10:54	45018/45018	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Mar%202020%2013:09:15%20GMT	https://preview.colorlib.com/theme/vacationrental/images/xroom-1.jpg.pagespeed.ic.j7_gUsbfiW.jpg	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/images/xroom-1.jpg.pagespeed.ic.j7_gUsbfiW.jpg	(from https://preview.colorlib.com/theme/vacationrental/)
13:10:54	2036/2036	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Jun%202022%2007:40:55%20GMT	https://preview.colorlib.com/theme/vacationrental/room-single.html	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/room-single.html	(from https://preview.colorlib.com/theme/vacationrental/)
13:10:55	89338/89338	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Mar%202020%2013:09:17%20GMT	https://preview.colorlib.com/theme/vacationrental/images/xroom-2.jpg.pagespeed.ic.RWk6y2cGAc.jpg	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/images/xroom-2.jpg.pagespeed.ic.RWk6y2cGAc.jpg	(from https://preview.colorlib.com/theme/vacationrental/)
13:10:55	69609/69609	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Mar%202020%2013:09:21%20GMT	https://preview.colorlib.com/theme/vacationrental/images/xroom-3.jpg.pagespeed.ic.1_fVN4GKrT.jpg	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/images/xroom-3.jpg.pagespeed.ic.1_fVN4GKrT.jpg	(from https://preview.colorlib.com/theme/vacationrental/)
13:10:56	134362/134362	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Mar%202020%2013:09:20%20GMT	https://preview.colorlib.com/theme/vacationrental/images/xroom-4.jpg.pagespeed.ic.2DpthT_oqM.jpg	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/images/xroom-4.jpg.pagespeed.ic.2DpthT_oqM.jpg	(from https://preview.colorlib.com/theme/vacationrental/)
13:10:56	36090/36090	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Mar%202020%2013:09:10%20GMT	https://preview.colorlib.com/theme/vacationrental/images/xperson_1.jpg.pagespeed.ic.P4pHl6glbj.jpg	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/images/xperson_1.jpg.pagespeed.ic.P4pHl6glbj.jpg	(from https://preview.colorlib.com/theme/vacationrental/)
13:10:57	47939/47939	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Mar%202020%2013:09:12%20GMT	https://preview.colorlib.com/theme/vacationrental/images/xperson_2.jpg.pagespeed.ic.yyrmjBH91b.jpg	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/images/xperson_2.jpg.pagespeed.ic.yyrmjBH91b.jpg	(from https://preview.colorlib.com/theme/vacationrental/)
13:10:57	35096/35096	---M--	200	added ('OK')	image/jpeg	etag:%228918-5a0e468b17040%22	https://preview.colorlib.com/theme/vacationrental/images/person_3.jpg	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/images/person_3.jpg	(from https://preview.colorlib.com/theme/vacationrental/)
13:10:57	25350/25350	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Mar%202020%2013:09:14%20GMT	https://preview.colorlib.com/theme/vacationrental/images/xperson_4.jpg.pagespeed.ic.sgz97bCjv4.jpg	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/images/xperson_4.jpg.pagespeed.ic.sgz97bCjv4.jpg	(from https://preview.colorlib.com/theme/vacationrental/)
13:10:58	162827/162827	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Mar%202020%2013:08:51%20GMT	https://preview.colorlib.com/theme/vacationrental/images/xabout.jpg.pagespeed.ic.64FSJkAnuJ.jpg	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/images/xabout.jpg.pagespeed.ic.64FSJkAnuJ.jpg	(from https://preview.colorlib.com/theme/vacationrental/)
13:10:59	14589/14589	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Jun%202022%2007:40:59%20GMT	https://preview.colorlib.com/theme/vacationrental/blog-single.html	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/blog-single.html	(from https://preview.colorlib.com/theme/vacationrental/)
13:10:59	103349/103349	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Mar%202020%2013:08:55%20GMT	https://preview.colorlib.com/theme/vacationrental/images/ximage_1.jpg.pagespeed.ic.d3eYXnswxO.jpg	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/images/ximage_1.jpg.pagespeed.ic.d3eYXnswxO.jpg	(from https://preview.colorlib.com/theme/vacationrental/)
13:10:59	134027/134027	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Mar%202020%2013:08:57%20GMT	https://preview.colorlib.com/theme/vacationrental/images/ximage_2.jpg.pagespeed.ic.AGdXSIRMOY.jpg	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/images/ximage_2.jpg.pagespeed.ic.AGdXSIRMOY.jpg	(from https://preview.colorlib.com/theme/vacationrental/)
13:11:00	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22629796aa-4d7%22	https://preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://preview.colorlib.com/theme/vacationrental/)
13:11:00	94077/94077	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Mar%202020%2013:08:58%20GMT	https://preview.colorlib.com/theme/vacationrental/images/ximage_3.jpg.pagespeed.ic.WCWlG0BFR5.jpg	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/images/ximage_3.jpg.pagespeed.ic.WCWlG0BFR5.jpg	(from https://preview.colorlib.com/theme/vacationrental/)
13:11:00	268038/268038	---MCZ	200	added ('OK')	application/javascript	etag:W/%2241706-5a0e46bf8ac00-gzip%22	https://preview.colorlib.com/theme/vacationrental/js/jquery.min.js	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/js/jquery.min.js	(from https://preview.colorlib.com/theme/vacationrental/)
13:11:00	88037/88037	---MCZ	200	added ('OK')	application/javascript	etag:W/%220%22	https://preview.colorlib.com/theme/vacationrental/js/jquery-migrate-3.0.1.min.js+popper.min.js+bootstrap.min.js.pagespeed.jc.ig_G-0Yue4.js	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/js/jquery-migrate-3.0.1.min.js+popper.min.js+bootstrap.min.js.pagespeed.jc.ig_G-0Yue4.js	(from https://preview.colorlib.com/theme/vacationrental/)
13:11:01	80402/80402	---MCZ	200	added ('OK')	application/javascript	etag:W/%220%22	https://preview.colorlib.com/theme/vacationrental/js/jquery.easing.1.3.js+jquery.waypoints.min.js+jquery.stellar.min.js+jquery.animateNumber.min.js+bootstrap-datepicker.js.pagespeed.jc.Mn7e5lndoz.js	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/js/jquery.easing.1.3.js+jquery.waypoints.min.js+jquery.stellar.min.js+jquery.animateNumber.min.js+bootstrap-datepicker.js.pagespeed.jc.Mn7e5lndoz.js	(from https://preview.colorlib.com/theme/vacationrental/)
13:11:01	91305/91305	---MCZ	200	added ('OK')	application/javascript	etag:W/%220%22	https://preview.colorlib.com/theme/vacationrental/js/jquery.timepicker.min.js+owl.carousel.min.js+jquery.magnific-popup.min.js+scrollax.min.js+google-map.js.pagespeed.jc.zGpSlx5rUj.js	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/js/jquery.timepicker.min.js+owl.carousel.min.js+jquery.magnific-popup.min.js+scrollax.min.js+google-map.js.pagespeed.jc.zGpSlx5rUj.js	(from https://preview.colorlib.com/theme/vacationrental/)
13:11:01	3713/3713	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e81-5a0e46c2672c0-gzip%22	https://preview.colorlib.com/theme/vacationrental/js/main.js	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/js/main.js	(from https://preview.colorlib.com/theme/vacationrental/)
13:11:02	2036/2036	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Jun%202022%2007:41:02%20GMT	https://preview.colorlib.com/theme/vacationrental/css/owl.video.play.png	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/css/owl.video.play.png	(from https://preview.colorlib.com/theme/vacationrental/css/animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+bootstrap-datepicker.css+jquery.timepicker.css+flaticon.css+style.css.pagespeed.cc.TncY36dScG.css)
13:11:02	6294/6294	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221896-5a0e4735cc300%22	https://preview.colorlib.com/theme/vacationrental/fonts/flaticon/font/Flaticon.eot	C:/My%20Web%20Sites/rms-4/preview.colorlib.com/theme/vacationrental/fonts/flaticon/font/Flaticon.eot	(from https://preview.colorlib.com/theme/vacationrental/css/animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+bootstrap-datepicker.css+jquery.timepicker.css+flaticon.css+style.css.pagespeed.cc.TncY36dScG.css)
